,lemma,next-lemma,next-next-lemma,next-next-pos,next-next-shape,next-next-word,next-pos,next-shape,next-word,POS,prev-iob,prev-lemma,prev-pos,prev-prev-iob,prev-prev-lemma,prev-prev-pos,prev-prev-shape,prev-prev-word,prev-shape,prev-word,sentence_idx,shape,word,tag
168,on,how,to,TO,lowercase,to,WRB,lowercase,how,IN,B-tim,wednesday,NNP,B-geo,vienna,NNP,capitalized,Vienna,capitalized,Wednesday,8,lowercase,on,O
169,how,to,respond,VB,lowercase,respond,TO,lowercase,to,WRB,O,on,IN,B-tim,wednesday,NNP,capitalized,Wednesday,lowercase,on,8,lowercase,how,O
170,to,respond,to,TO,lowercase,to,VB,lowercase,respond,TO,O,how,WRB,O,on,IN,lowercase,on,lowercase,how,8,lowercase,to,O
171,respond,to,iran,NNP,capitalized,Iran,TO,lowercase,to,VB,O,to,TO,O,how,WRB,lowercase,how,lowercase,to,8,lowercase,respond,O
172,to,iran,'s,POS,other,'s,NNP,capitalized,Iran,TO,O,respond,VB,O,to,TO,lowercase,to,lowercase,respond,8,lowercase,to,O
173,iran,'s,resumpt,NN,lowercase,resumption,POS,other,'s,NNP,O,to,TO,O,respond,VB,lowercase,respond,lowercase,to,8,capitalized,Iran,B-gpe
174,'s,resumpt,of,IN,lowercase,of,NN,lowercase,resumption,POS,B-gpe,iran,NNP,O,to,TO,lowercase,to,capitalized,Iran,8,other,'s,O
175,resumpt,of,low-level,JJ,contains-hyphen,low-level,IN,lowercase,of,NN,O,'s,POS,B-gpe,iran,NNP,capitalized,Iran,other,'s,8,lowercase,resumption,O
176,of,low-level,uranium,NN,lowercase,uranium,JJ,contains-hyphen,low-level,IN,O,resumpt,NN,O,'s,POS,other,'s,lowercase,resumption,8,lowercase,of,O
177,low-level,uranium,convers,NN,lowercase,conversion,NN,lowercase,uranium,JJ,O,of,IN,O,resumpt,NN,lowercase,resumption,lowercase,of,8,contains-hyphen,low-level,O
178,uranium,convers,.,.,punct,.,NN,lowercase,conversion,NN,O,low-level,JJ,O,of,IN,lowercase,of,contains-hyphen,low-level,8,lowercase,uranium,O
179,convers,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NN,O,uranium,NN,O,low-level,JJ,contains-hyphen,low-level,lowercase,uranium,8,lowercase,conversion,O
180,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,convers,NN,O,uranium,NN,lowercase,uranium,lowercase,conversion,8,punct,.,O
181,iran,this,week,NN,lowercase,week,DT,lowercase,this,NNP,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,9,capitalized,Iran,B-gpe
182,this,week,restart,VBD,lowercase,restarted,NN,lowercase,week,DT,B-gpe,iran,NNP,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Iran,9,lowercase,this,O
183,week,restart,part,NNS,lowercase,parts,VBD,lowercase,restarted,NN,O,this,DT,B-gpe,iran,NNP,capitalized,Iran,lowercase,this,9,lowercase,week,O
184,restart,part,of,IN,lowercase,of,NNS,lowercase,parts,VBD,O,week,NN,O,this,DT,lowercase,this,lowercase,week,9,lowercase,restarted,O
185,part,of,the,DT,lowercase,the,IN,lowercase,of,NNS,O,restart,VBD,O,week,NN,lowercase,week,lowercase,restarted,9,lowercase,parts,O
186,of,the,convers,NN,lowercase,conversion,DT,lowercase,the,IN,O,part,NNS,O,restart,VBD,lowercase,restarted,lowercase,parts,9,lowercase,of,O
187,the,convers,process,NN,lowercase,process,NN,lowercase,conversion,DT,O,of,IN,O,part,NNS,lowercase,parts,lowercase,of,9,lowercase,the,O
188,convers,process,at,IN,lowercase,at,NN,lowercase,process,NN,O,the,DT,O,of,IN,lowercase,of,lowercase,the,9,lowercase,conversion,O
189,process,at,it,PRP$,lowercase,its,IN,lowercase,at,NN,O,convers,NN,O,the,DT,lowercase,the,lowercase,conversion,9,lowercase,process,O
190,at,it,isfahan,NNP,capitalized,Isfahan,PRP$,lowercase,its,IN,O,process,NN,O,convers,NN,lowercase,conversion,lowercase,process,9,lowercase,at,O
191,it,isfahan,nuclear,JJ,lowercase,nuclear,NNP,capitalized,Isfahan,PRP$,O,at,IN,O,process,NN,lowercase,process,lowercase,at,9,lowercase,its,O
192,isfahan,nuclear,plant,NN,lowercase,plant,JJ,lowercase,nuclear,NNP,O,it,PRP$,O,at,IN,lowercase,at,lowercase,its,9,capitalized,Isfahan,B-geo
193,nuclear,plant,.,.,punct,.,NN,lowercase,plant,JJ,B-geo,isfahan,NNP,O,it,PRP$,lowercase,its,capitalized,Isfahan,9,lowercase,nuclear,O
194,plant,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NN,O,nuclear,JJ,B-geo,isfahan,NNP,capitalized,Isfahan,lowercase,nuclear,9,lowercase,plant,O
195,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,plant,NN,O,nuclear,JJ,lowercase,nuclear,lowercase,plant,9,punct,.,O
196,iranian,offici,say,VBP,lowercase,say,NNS,lowercase,officials,JJ,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,10,capitalized,Iranian,B-gpe
197,offici,say,they,PRP,lowercase,they,VBP,lowercase,say,NNS,B-gpe,iranian,JJ,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Iranian,10,lowercase,officials,O
198,say,they,expect,VBP,lowercase,expect,PRP,lowercase,they,VBP,O,offici,NNS,B-gpe,iranian,JJ,capitalized,Iranian,lowercase,officials,10,lowercase,say,O
199,they,expect,to,TO,lowercase,to,VBP,lowercase,expect,PRP,O,say,VBP,O,offici,NNS,lowercase,officials,lowercase,say,10,lowercase,they,O
200,expect,to,get,VB,lowercase,get,TO,lowercase,to,VBP,O,they,PRP,O,say,VBP,lowercase,say,lowercase,they,10,lowercase,expect,O
